text,attributeScores.INSULT.summaryScore.value
compra na casa da sua mãe na mansão do seu filhinho na casa do teu pai na casa do caralho mas compra a porra da vacina filho da puta burro do caralho,1.0
covid filha da puta te pego na porrada,0.99071956
filho da puta desgraçado meu pai tá na uti por sua causa pq ele precisa trabalhar mas não tem vacina nessa porra de pais seu arrombado do caralho espero que pegue uma infecção anal saco de estrume,0.9902984
cadê as vacinas seu genocida filho da puta corrupto do caralho jairbolsonaro,0.99019146
bolsonaro seu filho da puta nbriguei com o cara q eu gosto por causa de vacina seu desgraçadoneu fiquei brava e chamei ele de idiota e ele acha q eu vou uma pessoa intolerante naah se fude,0.9887112
vai se foder filho da puta se deixar tudo normal vai morrer todo mundo seu desgraçado é obrigação do estado em uma pandemia garantir o pao dentro de casa e que a saúde pública seja prioridade vai comprar vacina seu verme,0.98827296
jairbolsonaro filho da puta desgraçado o filho ladrão e o pai genocida compra vacina pro povo seu corno corrupto,0.98805165
vai se fuder covid desgraça fdp,0.9873796
filha da puta do covid tá achando que é pokémon pra evoluir,0.9854384
vai tomar no olho do seu cu seu filho da puta desgraçado se as pessoas estão morrendo mais no brasil é por sua culpa jairbolsonaro seu genocida,0.9840631
mimimi é teu cú bolsonaro filho da puta arrombado,0.9840565
estúpidocom mais de mil mortes por dia preste a fechar tudo de novo ou morremos de covid ou de fome e esse imbecil n ta nem ai,0.984033
filho da puta arrombado compra a porra da vacina seu inútil de merda para de fingir que se importa com o chefe de família tu tirou o caralho do auxílio emergencial seu imundiça na moral vai pra casa do caralho,0.9839498
maisacido se o cara faz todos os acordos possíveis e ainda assim você vai lá na rede dele gritar para comprar vacina sim você é um idiota,0.98379874
monark  vai tomar no seu cu monark seu imbecil do caralhoncego fdpno brasil é epicentro da covid o único pais que não tem plano de vacinação descente curva de morte na casa do caraio e vc falando uma merda dessancomo se o atual governo de genocida já não se derrubasse sozinho,0.98376155
fica sem vacina então velha safada vagabunda,0.98298657
thabatx cyrusironico tonjteodoro fernandazollet mina você é burra porra a máscara protege só de  sua imbecil acha que usar máscara vai curar o corona praq serve a vacina então porra só pra ficar bonitinho na rua sem a máscara ou pra não pegar o corona retardada tem cérebro de platelminto caralhoqi de notridame,0.98273987
kajuru às vezes eu acho que você é retardado puta que pariu esse corno teve a oportunidade de negociar a vacina da pfizer em agosto passado e não o fez acorda caralho além de deficiente visual você é deficiente mental porra,0.98235816
jairbolsonaro ah vai pra puta que pariu seu presidente de merda se você importasse mesmo com o povo brasileiro e não o seu próprio cu teríamos vacina mas não você é um filho duma puta egoista vsf,0.98229045
rude o caralho seus filhas da puta vão caçar oq fazer gringos feio fracassado funcionários não são seu conteúdo porra covid suma para que essas pessoas tomem uma surra minha,0.9821818
porra de pandemia do caralho inferno de covid arrombada filha da puta calcinha dura rapariga puta nojenta bafuda horrorosa bruxa fea te odeeeeeio,0.98211396
alvarodias mais a tua mãezinha já foi vacinada seu lixomuitas mães estão sem vacinas por tua burrice retardado,0.98205656
vai se foder filho da puta no que dependesse de vc o auxílio aprovado seria de  reais e nem vacina ia ter genocida irresponsável do caralho,0.9820143
assyahr que fique sem vacina então vagabunda vadia ridícula do crl,0.9819534
vacina filha da puta,0.9818328000000002
covid é uma doença filha da puta,0.98176503
o seu filha da puta cala boca eu perdi uma pessoa especial dms pro covid não só eu um tanto de gente  plmds fecha essa boca,0.98169374
vai comprar vacina seu desgraçado filho de uma puta,0.9816558
jairbolsonaro que chefe de família o que seu vagabundo do caralho vê se para de ficar enchendo esse cu seboso de leite condensando e vai comprar vacina puto filho da puta desgraçado,0.9816246
filho de uma puta genocida do caralho queria ver se fosse teu pai que tivesse morrido de covid se você ia ser contra vacina desgracado,0.98161596
billyviana  monark se vc pudesse se matar sozinho não teria problema o x da questão é que um imbecil igual vc se pegar covid vai espalhar pra um monte de gente pq é burro por isso burrice deveria doer,0.98157287
vai se foder covid puta que pariu filho da putaaaaaaa,0.98152924
fica sem vacina entao sua velha asquerosa do caralho,0.9814011
essa praga é um monstro tem que enfiar o covid na guela dele ou da familia dele monstro demonio hitler exterminador do proprio povo hoje podiamos ter metade da população vacinada sua praga assassino centrai filha da puta bandidos desgraçadosnbolsonarocoveirodobrasil,0.9812603
mano eu quero que esse filho da puta pegue covid e morra morre seu inútil do caralhonvou enfiar os leite condesado no meio do seu cu,0.9811567
coronavirus filho da put que ódio vc me paga seu arrombadinh de merd,0.9811443
covid pau no cu da desgraça vá se fuder imundo,0.9811282
velha piranha miserável do caralho pega covid então filha da puta,0.9811054
jairbolsonaro seu verme lixo filho da puta desgracado do caralho compra as porra das vacinas seu inútil seu poste sua bosta,0.9810314
valbraz uol fale por vc imbecil quando sua mãe e seu pai pegar covid vc trate com arroz e feijão ou trate com capim q é alimento de jumentos,0.98102874
então vai tomar no seu cu e compra vacina filho da puta do caralho,0.981006
eu odeio esse velho louco filho da putaaaaaaaaaaaaaaaaa que homi infeliz pra que q eu fui ver esse video dele falando da vacina,0.9810054
monark te joga sozinho na covid imbecil,0.9809782
ent morre aí sem vacina puta,0.98096097
cadê as vacinas seu filho da puta,0.9809378
carteiroreaca se nao fosse a coragem dele nem vacina teriamos nncala tua boca babaca,0.9809316
jairbolsonaro minfraestrutura tarcisiogdf compra vacina filho da puta,0.9809155
alvarodias idiota é esse imbecil medíocre que esta brincando com a pandemia quando desde junho do ano passado já deveria ter aceitado as ofertas de vacinas de vários laboratórios só resolveu agir quando o doriana já estava com a vacina praticamente pronta,0.9809127
jairbolsonaro idiota é você e sua mãe seu fdpndeus é justo e alguém da sua família vai morrer de covid,0.98091006
esse babaca ainda arrota basbaquices na  gente tão cretina que nem a covid,0.9809065
jairbolsonaro vai comprar vacina seu filho da puta do caralho,0.98089975
rodrigomaia vc é um imbecil nhonho do baixoclarono pib da frança do emmanuel macron caiu  dobro do brasilnmas na sua cabeça e dos pilantras de ocasião a culpa lá fora é da  no brasil a culpa é do bolsonarondeixa de ser imbecil gordonvc não pode tão idiota,0.9808977
jairbolsonaro então vai atrás das vacina fela da puta,0.9808909
acaba logo coronavirus desgraçado fdp,0.9808877
covid filha da puta,0.98088676
jairbolsonaro vai tomar no cu verme que não garante nem vacina pro povo e tá levando a economia pro buraco presidente de merda num serve pra nada é um imbecil,0.9808802
já pensou se rola um plot twist e esse filho da puta morre de covid,0.98086625
o babaca não quer comprar vacina pra você idiota que o defende só que ele tá vacinado não quer comprar pra sua mãe mas a dele tá vacinada enquanto você continua defendendo esse merda ele quer mais que você é sua família morram,0.9808372
vai se foder então pega covid e morre desgraçada,0.98083484
jairbolsonaro essencial é você parar de falar merda e tentar salvar a vida das pessoas comprando vacina seu filho da puta do caralho,0.9808254
raymondreyredd necksanexa o witzel do meu estado foi fastado  porque desviou rcursos do covid e do pará escolheu uma empresa de vinho para comprar respiradores e tudo errado e comndefeito lixo é você seu babaca de merda boçal escroto,0.9808142
vai tomar no olho do teu cu e vai comprar a vacina verme imundo,0.9808085
trambiqueiro  debochado incompetente corrupto inepto genocida ou seja um tremendo filho da puta caminhando para quase  mil mortes entre gripezinhas mimis e vacinas na casa da mãe,0.98080415
jairbolsonaro vai compra vacina seu imbecil,0.9808007
jairbolsonaro se vc fdp  tivesse comprado as vacinas  não estaríamos nessa merda seu bosta  isso que vc é  um bosta,0.98079926
jairbolsonaro então vacina todo pai de família o seu imbecil,0.98079646
jairbolsonaro jorgeseif compra vacina filho da puta,0.98079616
tem idiota  mesmo sem acreditar vacina a mãe ‍♀️‍♀️‍♀️‍♀️,0.98078436
sim da uma medicação forte e ineficaz pra covid que pode causar taquicardia pra uma grávida já mata ela e o bebê ne seu imbecil,0.98076284
jairbolsonaro vai comprar vacina seu putinho de merda,0.9807622
chegaquetemrj loucopelobts strixiex dykenb fernandazollet então morra de covid filha da puta,0.98074293
eu não presto pra ficar desocupada não olha covid vc me paga seu filho da puta,0.9807348
wagnerbsb jairbolsonaro jorgeseif vacina é o caralho seu filho da puta,0.9807339
esse é o tipo de filho da puta que devia pegar covid ter que esperar respirador e ficar entubado pra primeiro sofrer e depois morrer os profissionais de saúde esgotados e os desgraçado em festinha bando de filha da puta é impossível ter paz nesse país de filho da puta,0.9807167
mas este filho da puta impedindo estados de comprar vacinas depois de ter esmerdeado o país inteiro durante a pandemia ninguém acha incitação de porra nenhuma,0.9807154
velha vagabunda nndevia ficar sem vacina,0.98071474
na tua seu desgracado genocida falar em mae que morra a tuanbolsonaro tem idiota que pede compra de vacina só se for na casa da tua mãe,0.9806919
sério o ódio que eu tenho desse desgraçado não tá descritonfilho da puta escroto do caralhontomara que  sem essa vacina tbm,0.98068774
coronavírus eu te odeio filho da puta,0.9806875
que ódio dessa porra de covid desse governo de babaca escroto,0.98068404
que nojo que eu tenho desse merda velho nojento filho da puta já deve ter enfiado vacina até no olho do cu aí vai p palanque falar bosta,0.98066896
chamou  de idiotas porque os idiotas acham que basta estalar os dedos e as vacinas aparecem será que na europa a culpa tb é do bolsonaro,0.9806585
tinhogoll  nao e nada perto da tua mãe a vagabunda consegue ser o covid,0.9806388
se a vida fosse justa esse filho da puta ia morrer de covidnbolsonarogenocida,0.98063356
vai se fode bolsominion de merda infia seu tratamento precoce no  olha o resultado do tratamento precoce defendido pelo seu político de estimaçãon,0.980625
cade a vacina seu desgraçado filho duma puta,0.98060995
o “idiota” aqui exige que o governo compre  vacina e  o idiota aqui pede o afastamento de bolsonaro sou apenas mais um “idiota” mas pago o seu salário e o de seus três filhos parlamentares realmente devo ser “ idiota” afastamentoja marcelofreixo  erikakokay,0.98059356
ala o filho da puta ta com covid,0.9805926
não compra a vacina pra poder ajudar o filhinho a comprar a mansão né jairbolsonaro nignorem esse outro filha da puta que postou o tweet felipe tbm é outro idiota,0.9805913
reginavsb victormetta  o sua filha da puta é pq o safado do presidente não compra as vacinas,0.9805835
llouzzada desse filha da puta do bolsonaro não quero porra nenhuma ele que vá se vangloriar do aux emergencial no inferno verme maldito se for covid e eu tiver que ficar  dias em casa ou me aconteça algo pior chamo o meu irmão,0.9804014
jairbolsonaro vai comprar vacina seu bosta lixo escroto filho da puta sai logo dessa presidência ninguém te aguenta mais seu inútil,0.98014545
como q esse puto do  não pega logo uma cepa venenosa de covid e vai embora direto pro inferno o homem ta todo dia aglomerado sem mascara com outros  filhas da puta que ódio,0.9799949
qual é a dificuldade de comprar vacina pra salvar o povo seu imbecil do caralho presidente sem noção,0.9798825
lixo vagabundo de merda tem que esfregar na cara desse lixo as ofertas de vacinas que foram propostas ao brasil,0.97965336
idiota é você presidente o idiota que infelizmente o brasil elegeu como presidente ne não o povo que pede que sejam comprado mais vacinasnah esqueci que você não se importam com as pessoas morrendo do vírus que você chamou de gripinha,0.97960883
jairbolsonaro sai do twitter e vai comprar a vacina filha da puta,0.97949743
idiota nojentoquase  mil pessoas morrendo todos os dias e esse lixo não faz o que deveria ser feito que e a compra da vacina urgente,0.97938097
puta velha só morra racista não merece vacina,0.97925144
mano ngm aguenta mais o covid virus filha da puta,0.97886914
covid filho da puta,0.97846377
crlh covid filho da putaaaaaaaa,0.9778549
vai tomar no cú jairbolsonaro seu verme genocida desgraçado gosta de chupar rola cheia de leite moça bem na cabecinha e virar boneca na mão do aramagem seu viado do caralho fdp  fica sempre comemorando mortes ⚰️ sabotando as medidas contra o coronavirus,0.97775966
psicopata assassino filhodaputa repete alucinadamente a resposta na casa de sua mãe quando alguém lhe pergunta pela vacina  este é um milico padrão o bunda suja,0.97760886
compra minha vacina seu crápula desgraçado maldito,0.9774373
jornalnacional no mundo não tem vacinas pro idiota do presidente do brasil comprar se há alguns idiotas no brasil esses idiotas são jair bolsonaro futuro presidiário de bangu  e seus seguidores,0.97728425
que vontade de pegar covid só pra cuspir na cada dessa velha idiota,0.9767749
lucianohuck tu é idiota sempre assim  qual é a tua  uy começou a vacinar ontem anta  tu acha mesmo q todo mundo é burro igual a você  não tem mais vacina no mundo bando de besta,0.9765335
jairbolsonaro o idiota vai comprar vacina,0.9762224
bolsonaro fala em vírus do pavor e diz que parece que só morre gente de  no brasilncala boca imbecil nbolsonarocoveirodobrasil,0.97598046
jairbolsonaro e sem vacina ele morre de covid filho da puta,0.97544205
que pão o que caralho a gente quer vacina o filha da puta arrombado,0.97542566
covid filha da puta já tô vendo que não bastava você destruir meu  e  em você tbm vai me tirar o,0.9748659
‘tem idiota que diz vai comprar vacina só se for na casa da tua mãe’,0.9747287
jairbolsonaro vai comprar vacina e cala a porra da boca velho retardado,0.97460973
tinha que dar vacina de vento nessa filha da puta,0.9744678
ueharad emcom jumento vacina se toma no braçonlarga mão de ser imbecil,0.97434217
“tem idiota que pede compra de vacina só se for na casa da tua mãe”,0.97379416
como mente esse minto pelo amor de deuspaís que mais vacinaso idiotasburros e ignorantes pra continuar dando trela pra esse saco de excremento  temos que tirar esse inapto de la agora ou não vamos mais conseguir deter esse virusquase   mortos por dia absudo,0.9727075
tem idiota q idolatra esse doente ainda não vai comprar vacina então paga convênio particular pra toda sociedade cara lixo,0.9725813
jairbolsonaro vai comprar vacina filha da puta,0.97219133
alvarodias vc gosta é de que não tenhamos vacinas né gado filho da puta,0.9718186
cnnbrasil ao covarde do willian waack antes não haviam comprovação da eficácia da vacinas a que sua mãe deveria ter tomado canalha jornalista de merda,0.9716865
jhonnp estadao estadaosaude toma aqui a fonte vagabundo canalha chupa imbecilnn,0.9715209
enfrentar os problemas  com os hospitais lotados e sem vacina  risos  é um completo idiota esse cara pqp,0.9715145
eu sinto um asco um ódio uma coisa tão horrível para com esse imbecil que mesmo pra ele eu não desejaria perder um ente amado com o covid mas isso que me faz melhor que ele eu só sei chorar eu não aguento mais esse fdp infeliz minha pressão subiu hoje de ódio e não é meme,0.9713145
dinheiro pra vacina esse presidente fdp de merda n tem né mas pra comprar mansão de  milhões para o arrombado do filho dele ele tem de sobra,0.9711865
“tem  idiota  que pede compra  de vacina só se for na casa da tua mãe nbolsonaronndeus que me perdoe mas ele é o satanás em pessoanmá índole maquiavélico egocêntrico negacionistaainda tem gente que apoia esse verme nnvergonha por vocês que ainda defendem esse merda,0.971103
todos idiotas q preferem perder o emprego do q a vidanportanto quero a vacina para ficar imune e tranquilo para trabalharnserá q é tão difícil entender,0.971036
mothersmilkhoe uma desgraçada filha de uma puta que faz isso com pobre do bichinhonuma peste dessa depois morre com um câncer covid ou etcdepois fica teclando porque tá sofrendo,0.97077954
aidani de onde caralhos um ser tão burro imbecil e principalmente doente como você tirou que a vacina mata é esquizofrenia é capim no café da manhã e merda no cérebro ou é mau caratismo,0.9703866
cara de pau depois os governadores acusam o presidente bolsonaro de genocida que não se preocupam com os mortos que não investem na saúde a secretaria de imperatriz se fartou no dinheiro da covid   cambada de ladrõesnbolsonarotemrazao,0.9701225
uma filha da puta com covid na minha cidade se recusou a ser medicado por um enfermeiro gay foi super mal educado e disse que não ia deixar essa coisa relar nele dias depois a saturação dele piorou e foi entubado tá há uns  dias na uti  tenho  empatia que se lasque,0.9700177
jairbolsonaro essencial agora é a vacina é o leito de uti é a máscara que vc desdenha mantenha seu povo vivo filho da puta,0.96996945
eu quero trabalhar oh seu filho da putanentao compra as porra das vacina seu verme,0.9696946
willianngabriel anofrivia nobreogui felipeneto pandemia e mundial o presidente e um imbecil por nao dar as vacinas o governsdor do rs e um idiota que esta fazendo campanha política pagando contas atrasadas ao invez de investir ns saúde aí agora pagamos o pato,0.96951866
que dença maldita dessa covid fdp,0.96946466
eu tô entrando em pânico o covid cada vez mais agressivo e esse presidente de merda só fala bosta eu realmente qria q alguém matasse esse merda mds,0.96941113
jairbolsonaro vai tomar no seu cu seu arrombado vc que provoca toda aglomeração para onde vai vc nunca se importou com as vidas vc esnobou a coronavac vc não comprou nenhuma vacina quando foi oferecida foi na contra mão da ciência sua mãe tá vacinada a minha não seu arrombado,0.9689575
covid se já tá chatão mano o seu filha da puta eu quero ir pro bar acaba logo,0.96875393
eae bolsonaro filho da puta libera as vacina pra nois caralho,0.9687504
a valhe fude velho desgracado vai compra vacina imundo,0.9683498
meu deus tem pessoa que ainda acredita em medicação para o uso precoce da  filho da putaaaa não tem nenhum remedio que combata esse virus seu verme inseto do caralho,0.9680539
jairbolsonaro vai comprar vacina velho caquético lixo do caralho genocida,0.9673938
puta desgraçada deveria tomar soda cáustica em vez de vacina veia azeda,0.9672294
vietnã china cuba venezuela tá aí pra calar esse seu argumentozinho de bosta lixo imundo do caralho vietnã soube do bagulho já meteu todas as medidas preventivas tendo lockdown e tá a  meses sem morte por  desconfia com base em que seu verme imundo,0.9665243
“tem idiota que diz vai comprar vacina só se for na casa da tua mãe” afirma bolsonaro em minas gerais,0.9664843
“tem idiota que diz vai comprar vacina só se for na casa da tua mãe” afirma bolsonaro em minas gerais,0.9664843
que filho da puta escolheu o discurso que vai comprar e enganar a população ele não se importa com chefes de família com sustento ele tem o sangue de mais de  mil brasileiros nas mãos e escolheu matar cada um desde o momento que cortou verba da saúde e n comprou vacina,0.9657517
acabei de perder um grande amigo a covid levou ele acreditava no bolsonaro fez tratamento precoce e tudo mais que esse cretino mandavanbolsonaro vc é um assassinonimpeachmentoumorte chega desse filho da puta,0.96451795
era pra ficar sem vacina e morrer filha da puta,0.9634764
vai tomar no cu sua desgraça dos infernos tomara que morra cheio de covid pelo meio do cu entubado e que médico ou enfermeiro te negue ajuda igual ao que vc ta fazendo com a população pau no cu do kralho,0.96336997
jairbolsonaro eu te odeio seu verme perdi minha mãe pro covid e me dá ódio cada vez que tu vem com esse teu negacionismo de merda,0.96336997
jairbolsonaro ele não vai levar nada se estiver morto de covid né filha da puta,0.96336997
da vacina de ar pra essa puta velha,0.96336997
idiota quem pede vacinannvai toma no cu,0.96336997
a dilma caiu por pedaladas fiscais oq caralhos no meu cu é isso enquanto esse arrombado do cacete nao quer comprar vacinas e q vai salvar milhões de pessoasnnvai se foder seu filho da puta impeachment nesse cuzao do caralho filho da putaaaaaaaaaaaaaaa,0.96336997
e pensar q era pra ter john wick  esse ano covid filho da puta,0.96336997
mais um storie de filha da puta que não se cuida tomando vacina e a minha avó nada,0.96336997
jairbolsonaro passando pra lembrar como vc é um bosta  pelo amor de deus eu quero vacina pq vc não faz o papel de presidente e compra as vacina nputa merda homem vai tomar no seu cu corrupto desgraçado npas,0.96336997
eu enfiava a vacina no cú dessa filha da puta,0.96336997
allusapore agradeça o seu presidente que ao inves de salvar a economia com a vacina empurro colorquina na bunda de retardados como vc kkk,0.96336997
calado rato de academia e aquieta o cu em casann pq países com alto nível de obesidade tem mais mortes por covid sim tu n pesa nem  direito deixa de ser chato rato de academia,0.96336997
bbcbrasil esse fdp do caralho ladrão desgracado não paga nada não o dinheiro de auxílio e vacinas é a gente que banca com o dinheiro dos nossos impostos,0.96336997
jairbolsonaro o povo quer a vacina seu arrombado de merda,0.96336997
spray um caralho vai comprar a desgraça da vacina seu fdp,0.96336997
vai tomar no seu cu arrombado vai comprar vacina jairbolsonaro,0.96336997
todos os meus planos cancelados tá feliz covid chineses desgraçados,0.96336997
que esse babaca fez escolha que está atrasado pra chegada da nossa vacina e outras coisas que já era pra ter resolvido,0.96336997
tinha que deixar essa puta sem vacina,0.96336997
jairbolsonaro filho da puta compra vacina que todo mundo volta a trabalhar,0.96336997
nossa vai se foder eu mandava se foder não vai tomar vacina nenhuma então caralho sua velha filha da puta,0.96336997
idiota comprar vacina só se for na casa da tua mãen isso deveria ser um pr digno mas não é nem nunca foi ou será,0.96336997
esse idiota que agora esbraveja foi alertado sobre a urgência na aquisição de vacinas mas em plena pandemia achou que os laboratórios iriam montar bancas de feira para vender ao brasil irresponsável,0.96336997
estadao vacina não se compra em qualquer esquina ô imbecil só se for na casa da rua mãe kkkkk bolsonaro não pode fazer aparecer vacinas bando de hipócritas ele está providenciando para mais breve possível vcs são hipócritas,0.96336997
monark  vai tomar no cu eu estive em uma uti com covid e convivi com a batalha dos profissionais de saúde pela vida seu negacionista de merda,0.96336997
a vacina dela é um murro no meio da boca dessa feia fdp,0.96336997
jairbolsonaro cala a boca e vai comprar vacina seu inútil miserável,0.96336997
jairbolsonaro na casa da minha mãe não tem vacina mas na casa do caralho e no rabo dos seus filhos tem então compre seu filha da puta e para de ser uma criança babaca e governe logo esse brasil,0.96336997
